sample_name,dataset,SUPER,SUB
HG03380,GnomAD,AFR,MSL
HG03382,GnomAD,AFR,MSL
HG03385,GnomAD,AFR,MSL
HG03388,GnomAD,AFR,MSL
HG03391,GnomAD,AFR,MSL
HG03394,GnomAD,AFR,MSL
HG03397,GnomAD,AFR,MSL
HG03401,GnomAD,AFR,MSL
HG03410,GnomAD,AFR,MSL
HG03419,GnomAD,AFR,MSL
HG03428,GnomAD,AFR,MSL
HG03432,GnomAD,AFR,MSL
HG03433,GnomAD,AFR,MSL
HG03436,GnomAD,AFR,MSL
HG03437,GnomAD,AFR,MSL
HG03439,GnomAD,AFR,MSL
HG03442,GnomAD,AFR,MSL
HG03445,GnomAD,AFR,MSL
HG03446,GnomAD,AFR,MSL
HG03449,GnomAD,AFR,MSL
HG03451,GnomAD,AFR,MSL
HG03452,GnomAD,AFR,MSL
HG03454,GnomAD,AFR,MSL
HG03455,GnomAD,AFR,MSL
HG03458,GnomAD,AFR,MSL
HG03460,GnomAD,AFR,MSL
HG03461,GnomAD,AFR,MSL
HG03469,GnomAD,AFR,MSL
HG03470,GnomAD,AFR,MSL
HG03472,GnomAD,AFR,MSL
HG03473,GnomAD,AFR,MSL
HG03476,GnomAD,AFR,MSL
HG03480,GnomAD,AFR,MSL
HG03484,GnomAD,AFR,MSL
HG03485,GnomAD,AFR,MSL
HG03499,GnomAD,AFR,ESN
HG03514,GnomAD,AFR,ESN
HG03515,GnomAD,AFR,ESN
HG03517,GnomAD,AFR,ESN
HG03518,GnomAD,AFR,ESN
HG03520,GnomAD,AFR,ESN
HG03521,GnomAD,AFR,ESN
HG03538,GnomAD,AFR,GWD
HG03539,GnomAD,AFR,GWD
HG03547,GnomAD,AFR,MSL
HG03548,GnomAD,AFR,MSL
HG03556,GnomAD,AFR,MSL
HG03557,GnomAD,AFR,MSL
HG03558,GnomAD,AFR,MSL
HG03559,GnomAD,AFR,MSL
HG03563,GnomAD,AFR,MSL
HG03565,GnomAD,AFR,MSL
HG03567,GnomAD,AFR,MSL
HG03571,GnomAD,AFR,MSL
HG03572,GnomAD,AFR,MSL
HG03576,GnomAD,AFR,MSL
HG03577,GnomAD,AFR,MSL
HG03578,GnomAD,AFR,MSL
HG03582,GnomAD,AFR,MSL
HG03583,GnomAD,AFR,MSL
HGDP00450,GnomAD,AFR,MbutiPygmy
